collected_at,stnCd,fcltNm,lineNm,stnNm,stnNo,crtrYmd,fcltSeNm,cusarThrghSeNm,nrsrmUtztnMth,stllAcsYn,doorItphnEn,itphnEn,nrspcLockEn,vstcdEn,hnstzYn,dprSwchbrdCnt,dprBoxEn,nrspttEn,spsofaEn,mpsofaEn,tableEn,wshstndEn,trmmtEn,hgmtEn,wthtEn,rfgrEn,mwovenEn,chlhtrEn,acEn,fanEn,htrEn,acnrEn,dspdprEn,tsEn,ptlEn,safiEn,lsEn,chwpEn,infntBedEn,nrsstlEn,nrsplwEn,nrslgtEn,bmbEn,mwovenosEn,portEn,drtbEn,sofaCnt,infntBedCnt,stnFlr,exitNo,utztnHr,operInstTelno,gateInoutSe,dtlPstn,FCAR,grndUdgdSe
2026-08-07 15:39,2556,수유실,5호선,올림픽공원,P550,,가족수유실,고객안전실경유,1인가족 단독사용,Y,N,N,N,N,Y,1,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,Y,N,N,2,0,B2,2,영업시간내,0263115551,내부,B2 고객안전실 내부,9.920000000,지하
2026-08-07 15:39,2560,수유실,5호선,거여,P554,,가족수유실,단독,1인가족 단독사용,Y,Y,Y,N,N,Y,1,Y,Y,N,Y,Y,Y,N,N,Y,N,Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,N,Y,N,N,N,N,Y,N,Y,1,1,B1,1,영업시간내,0263115591,내부,B1 고객안전실 인접,10.400000000,지하
2026-08-07 15:39,2562,수유실,5호선,강일,554,,가족수유실,단독,1인가족 단독사용,Y,Y,Y,N,N,Y,1,Y,Y,Y,N,Y,Y,N,N,Y,N,Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,N,Y,N,N,N,N,Y,N,Y,2,1,B2,2,영업시간내,0263115611,외부,B2 (나)고객안전실 인접,21.950000000,지하
2026-08-07 15:39,2563,수유실,5호선,미사,555,,가족수유실,단독,1인가족 단독사용,Y,Y,Y,N,N,Y,1,Y,N,Y,N,Y,Y,N,N,Y,N,Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,N,Y,N,N,N,Y,Y,N,Y,2,1,B1,6,영업시간내,0263115621,외부,B1 고객안전실 앞,18.640000000,지하
2026-08-07 15:39,2564,수유실,5호선,하남풍산,556,,가족수유실,단독,1인가족 단독사용,Y,Y,Y,N,N,Y,1,Y,N,Y,N,Y,Y,N,N,Y,N,Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,N,Y,N,N,N,N,Y,N,Y,2,1,B1,4,영업시간내,0263115631,외부,B1 고객안전실 옆,15.400000000,지하
2026-08-07 15:39,2565,수유실,5호선,하남시청,557,,가족수유실,단독,1인가족 단독사용,Y,Y,Y,N,N,Y,1,N,Y,Y,N,Y,Y,N,N,Y,N,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,Y,N,N,2,1,B1,3,영업시간내,0263115641,외부,B1 고객안전실 인접,24.880000000,지하
2026-08-07 15:39,2566,수유실,5호선,하남검단산,558,,가족수유실,단독,1인가족 단독사용,Y,Y,Y,N,N,Y,1,N,N,Y,N,Y,Y,N,N,Y,N,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,Y,N,N,2,1,B1,1,영업시간내,0263115651,외부,B1 게이트 옆,24.880000000,지하
2026-08-07 15:39,2611,수유실,6호선,응암,610,,가족수유실,단독,1인가족 단독사용,Y,Y,Y,N,N,Y,2,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,N,Y,2,0,B1,1~4,영업시간내,0263116100,내부,B1 고객안전실 앞,24.980000000,지하
2026-08-07 15:39,2613,수유실,6호선,불광,612,,가족수유실,단독,1인가족 단독사용,Y,Y,Y,N,N,Y,2,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,N,Y,2,0,B2,8,영업시간내,0263116120,내부,B2 고객안전실 인접,23.700000000,지하
2026-08-07 15:39,2620,수유실,6호선,월드컵경기장,619,,가족수유실,단독,1인가족 단독사용,Y,Y,Y,N,N,Y,2,Y,Y,N,Y,Y,Y,N,N,Y,N,Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,N,Y,1,0,B2,"2,3",영업시간내,0263116190,내부,B2 고객안전실 인접,25.000000000,지하
