fcltNm,sftyScfldEn,lineNm,stnCd,stnNm,stnNo,crtrYmd,mngrTelno,collected_at
안전발판,Y,7호선,2728,어린이대공원,726,20241231,0263117261,2026-08-07T05:49:07Z
안전발판,Y,7호선,2729,건대입구,727,20241231,0263117271,2026-08-07T05:49:07Z
안전발판,N,7호선,2730,뚝섬유원지,728,20241231,0263117281,2026-08-07T05:49:07Z
안전발판,N,7호선,2731,청담,729,20241231,0263117291,2026-08-07T05:49:07Z
안전발판,Y,7호선,2732,강남구청,730,20241231,0263117301,2026-08-07T05:49:07Z
안전발판,N,7호선,2733,학동,731,20241231,0263117311,2026-08-07T05:49:07Z
안전발판,N,7호선,2734,논현,732,20241231,0263117321,2026-08-07T05:49:07Z
안전발판,N,7호선,2735,반포,733,20241231,0263117331,2026-08-07T05:49:07Z
안전발판,Y,7호선,2736,고속터미널,734,20241231,0263117341,2026-08-07T05:49:07Z
안전발판,N,7호선,2737,내방,735,20241231,0263117351,2026-08-07T05:49:07Z
안전발판,Y,7호선,2738,이수,736,20241231,0263117361,2026-08-07T05:49:07Z
안전발판,Y,7호선,2739,남성,737,20241231,0263117371,2026-08-07T05:49:07Z
안전발판,N,7호선,2740,숭실대입구,738,20241231,0263117381,2026-08-07T05:49:07Z
안전발판,N,7호선,2741,상도,739,20241231,0263117391,2026-08-07T05:49:07Z
안전발판,Y,7호선,2742,장승배기,740,20241231,0263117401,2026-08-07T05:49:07Z
안전발판,N,7호선,2743,신대방삼거리,741,20241231,0263117411,2026-08-07T05:49:07Z
안전발판,N,7호선,2744,보라매,742,20241231,0263117421,2026-08-07T05:49:07Z
안전발판,Y,7호선,2745,신풍,743,20241231,0263117431,2026-08-07T05:49:07Z
안전발판,N,7호선,2746,대림,744,20241231,0263117441,2026-08-07T05:49:07Z
안전발판,Y,7호선,2747,남구로,745,20241231,0263117451,2026-08-07T05:49:07Z
안전발판,Y,7호선,2748,가산디지털단지,746,20241231,0263117461,2026-08-07T05:49:07Z
안전발판,Y,7호선,2749,철산,747,20241231,0263117471,2026-08-07T05:49:07Z
안전발판,N,7호선,2750,광명사거리,748,20241231,0263117481,2026-08-07T05:49:07Z
안전발판,Y,7호선,2751,천왕,749,20241231,0263117491,2026-08-07T05:49:07Z
안전발판,N,7호선,2752,온수,750,20241231,0263117501,2026-08-07T05:49:07Z
안전발판,N,8호선,2810,암사역사공원,809,20241231,0263118091,2026-08-07T05:49:07Z
안전발판,N,8호선,2811,암사,810,20241231,0263118101,2026-08-07T05:49:07Z
안전발판,N,8호선,2812,천호,811,20241231,0263115471,2026-08-07T05:49:07Z
안전발판,N,8호선,2813,강동구청,812,20241231,0263118121,2026-08-07T05:49:07Z
안전발판,Y,8호선,2814,몽촌토성,813,20241231,0263118131,2026-08-07T05:49:07Z
안전발판,Y,8호선,2815,잠실,814,20241231,0263118141,2026-08-07T05:49:07Z
안전발판,N,8호선,2816,석촌,815,20241231,0263118151,2026-08-07T05:49:07Z
안전발판,N,8호선,2817,송파,816,20241231,0263118161,2026-08-07T05:49:07Z
안전발판,N,8호선,2818,가락시장,817,20241231,0263118171,2026-08-07T05:49:07Z
안전발판,N,8호선,2819,문정,818,20241231,0263118181,2026-08-07T05:49:07Z
안전발판,N,8호선,2820,장지,819,20241231,0263118191,2026-08-07T05:49:07Z
안전발판,N,8호선,2821,복정,820,20241231,0263118201,2026-08-07T05:49:07Z
안전발판,Y,8호선,2822,산성,822,20241231,0263118221,2026-08-07T05:49:07Z
안전발판,N,8호선,2823,남한산성입구,823,20241231,0263118231,2026-08-07T05:49:07Z
안전발판,Y,8호선,2824,단대오거리,824,20241231,0263118241,2026-08-07T05:49:07Z
안전발판,N,8호선,2825,신흥,825,20241231,0263118251,2026-08-07T05:49:07Z
안전발판,N,8호선,2826,수진,826,20241231,0263118261,2026-08-07T05:49:07Z
안전발판,Y,8호선,2827,모란,827,20241231,0263118271,2026-08-07T05:49:07Z
안전발판,N,8호선,2828,남위례,821,20241231,0263118211,2026-08-07T05:49:07Z
