are_cd,are_nm,rail_opr_istt_cd,ln_cd,ln_nm,prpr_stin_cd,stin_nm,mv_path_dv_cd,mv_path_dv_nm,mg_no,start_point,end_point,path_label
01,수도권,KR,1,1호선,0119,녹천,1,출입구-승강장,2,2번 출입구 엘리베이터,창동 방면,2번 출입구 엘리베이터 → 창동 방면
01,수도권,KR,1,1호선,0119,녹천,1,출입구-승강장,3,3번 출입구 에스컬레이터,창동 방면,3번 출입구 에스컬레이터 → 창동 방면
01,수도권,KR,1,1호선,0119,녹천,1,출입구-승강장,4,4번 출입구 에스컬레이터,창동 방면,4번 출입구 에스컬레이터 → 창동 방면
01,수도권,KR,1,1호선,0119,녹천,1,출입구-승강장,5,1번 출입구 엘리베이터,월계 방면,1번 출입구 엘리베이터 → 월계 방면
01,수도권,KR,1,1호선,0119,녹천,1,출입구-승강장,6,2번 출입구 엘리베이터,월계 방면,2번 출입구 엘리베이터 → 월계 방면
01,수도권,KR,1,1호선,0119,녹천,1,출입구-승강장,7,3번 출입구 에스컬레이터,월계 방면,3번 출입구 에스컬레이터 → 월계 방면
01,수도권,KR,1,1호선,0119,녹천,1,출입구-승강장,8,4번 출입구 에스컬레이터,월계 방면,4번 출입구 에스컬레이터 → 월계 방면
01,수도권,KR,1,1호선,0459,월계,1,출입구-승강장,1,1번 출입구 엘리베이터,녹천 방면,1번 출입구 엘리베이터 → 녹천 방면
01,수도권,KR,1,1호선,0459,월계,1,출입구-승강장,2,2번 출입구 엘리베이터,녹천 방면,2번 출입구 엘리베이터 → 녹천 방면
01,수도권,KR,1,1호선,0459,월계,1,출입구-승강장,3,3번 출입구 엘리베이터,녹천 방면,3번 출입구 엘리베이터 → 녹천 방면
01,수도권,KR,1,1호선,0459,월계,1,출입구-승강장,4,4번 출입구 엘리베이터,녹천 방면,4번 출입구 엘리베이터 → 녹천 방면
01,수도권,KR,1,1호선,0459,월계,1,출입구-승강장,5,1번 출입구 엘리베이터,광운대 방면,1번 출입구 엘리베이터 → 광운대 방면
01,수도권,KR,1,1호선,0459,월계,1,출입구-승강장,6,2번 출입구 엘리베이터,광운대 방면,2번 출입구 엘리베이터 → 광운대 방면
01,수도권,KR,1,1호선,0459,월계,1,출입구-승강장,7,3번 출입구 엘리베이터,광운대 방면,3번 출입구 엘리베이터 → 광운대 방면
01,수도권,KR,1,1호선,0459,월계,1,출입구-승강장,8,4번 출입구 엘리베이터,광운대 방면,4번 출입구 엘리베이터 → 광운대 방면
01,수도권,KR,1,1호선,0065,광운대,1,출입구-승강장,1,1번 출입구,월계 방면,1번 출입구 → 월계 방면
01,수도권,KR,1,1호선,0065,광운대,1,출입구-승강장,2,2번 출입구,월계 방면,2번 출입구 → 월계 방면
01,수도권,KR,1,1호선,0065,광운대,1,출입구-승강장,3,3번 출입구 엘리베이터,월계 방면,3번 출입구 엘리베이터 → 월계 방면
01,수도권,KR,1,1호선,0065,광운대,1,출입구-승강장,4,1번 출입구,석계/상봉 방면,1번 출입구 → 석계/상봉 방면
01,수도권,KR,1,1호선,0065,광운대,1,출입구-승강장,5,2번 출입구,석계/상봉 방면,2번 출입구 → 석계/상봉 방면
01,수도권,KR,1,1호선,0065,광운대,1,출입구-승강장,6,3번 출입구 엘리베이터,석계/상봉 방면,3번 출입구 엘리베이터 → 석계/상봉 방면
01,수도권,KR,1,1호선,0065,광운대,1,출입구-승강장,7,1번 출입구,하행 급행,1번 출입구 → 하행 급행
