are_cd,are_nm,rail_opr_istt_cd,ln_cd,ln_nm,prpr_stin_cd,stin_nm,line_order,stin_cons_ordr,prev_rail_opr_istt_cd,prev_ln_cd,prev_prpr_stin_cd,prev_stin_nm,next_rail_opr_istt_cd,next_ln_cd,next_prpr_stin_cd,next_stin_nm,has_platform_info,has_facility_info,has_move_path_info
01,수도권,NU,4,4호선,1354,오남,2,2,NU,4,1355,진접,NU,4,1353,별내별가람,False,True,True
01,수도권,NU,4,4호선,1353,별내별가람,3,3,NU,4,1354,오남,S1,4,0125,불암산,False,True,True
01,수도권,S1,4,4호선,0125,불암산,4,4,NU,4,1353,별내별가람,S1,4,0272,상계,True,True,True
01,수도권,S1,4,4호선,0272,상계,5,5,S1,4,0125,불암산,S1,4,0115,노원,True,True,True
01,수도권,S1,4,4호선,0115,노원,6,6,S1,4,0272,상계,S1,4,0541,창동,True,True,True
01,수도권,S1,4,4호선,0541,창동,7,7,S1,4,0115,노원,S1,4,0380,쌍문,True,True,True
01,수도권,S1,4,4호선,0380,쌍문,8,8,S1,4,0541,창동,S1,4,0340,수유,True,True,True
01,수도권,S1,4,4호선,0340,수유,9,9,S1,4,0380,쌍문,S1,4,0211,미아,True,True,True
01,수도권,S1,4,4호선,0211,미아,10,10,S1,4,0340,수유,S1,4,0212,미아사거리,True,True,True
01,수도권,S1,4,4호선,0212,미아사거리,11,11,S1,4,0211,미아,S1,4,0096,길음,True,True,True
01,수도권,S1,4,4호선,0096,길음,12,12,S1,4,0212,미아사거리,S1,4,0315,성신여대입구,True,True,True
01,수도권,S1,4,4호선,0315,성신여대입구,13,13,S1,4,0096,길음,S1,4,0587,한성대입구,True,True,True
01,수도권,S1,4,4호선,0587,한성대입구,14,14,S1,4,0315,성신여대입구,S1,4,0594,혜화,True,True,True
01,수도권,S1,4,4호선,0594,혜화,15,15,S1,4,0587,한성대입구,S1,4,0155,동대문,True,True,True
01,수도권,S1,4,4호선,0155,동대문,16,16,S1,4,0594,혜화,S1,4,0156,동대문역사문화공원,True,True,True
01,수도권,S1,4,4호선,0156,동대문역사문화공원,17,17,S1,4,0155,동대문,S1,4,0563,충무로,True,True,True
01,수도권,S1,4,4호선,0563,충무로,18,18,S1,4,0156,동대문역사문화공원,S1,4,0197,명동,True,True,True
01,수도권,S1,4,4호선,0197,명동,19,19,S1,4,0563,충무로,S1,4,0607,회현,True,True,True
01,수도권,S1,4,4호선,0607,회현,20,20,S1,4,0197,명동,S1,4,0296,서울역,True,True,True
01,수도권,S1,4,4호선,0296,서울역,21,21,S1,4,0607,회현,S1,4,0343,숙대입구,True,True,True
01,수도권,S1,4,4호선,0343,숙대입구,22,22,S1,4,0296,서울역,S1,4,0263,삼각지,True,True,True
01,수도권,S1,4,4호선,0263,삼각지,23,23,S1,4,0343,숙대입구,S1,4,0369,신용산,True,True,True
01,수도권,S1,4,4호선,0369,신용산,24,24,S1,4,0263,삼각지,S1,4,0477,이촌,True,True,True
01,수도권,S1,4,4호선,0477,이촌,25,25,S1,4,0369,신용산,S1,4,0167,동작,True,True,True
01,수도권,S1,4,4호선,0167,동작,26,26,S1,4,0477,이촌,S1,4,0560,총신대입구,True,True,True
01,수도권,S1,4,4호선,0560,총신대입구,27,27,S1,4,0167,동작,S1,4,0257,사당,True,True,True
01,수도권,S1,4,4호선,0257,사당,28,28,S1,4,0560,총신대입구,S1,4,0110,남태령,True,True,True
01,수도권,S1,4,4호선,0110,남태령,29,29,S1,4,0257,사당,KR,4,0307,선바위,True,True,True
01,수도권,KR,4,4호선,0307,선바위,30,30,S1,4,0110,남태령,KR,4,0039,경마공원,True,True,True
01,수도권,KR,4,4호선,0039,경마공원,31,31,KR,4,0307,선바위,KR,4,0129,대공원,True,True,True
01,수도권,KR,4,4호선,0129,대공원,32,32,KR,4,0039,경마공원,KR,4,0058,과천,True,True,True
01,수도권,KR,4,4호선,0058,과천,33,33,KR,4,0129,대공원,KR,4,0509,정부과천청사,True,True,True
01,수도권,KR,4,4호선,0509,정부과천청사,34,34,KR,4,0058,과천,KR,4,0480,인덕원,True,True,True
01,수도권,KR,4,4호선,0480,인덕원,35,35,KR,4,0509,정부과천청사,KR,4,0578,평촌,True,True,True
01,수도권,KR,4,4호선,0578,평촌,36,36,KR,4,0480,인덕원,KR,4,0228,범계,True,True,True
01,수도권,KR,4,4호선,0228,범계,37,37,KR,4,0578,평촌,KR,4,0090,금정,True,True,True
01,수도권,KR,4,4호선,0090,금정,38,38,KR,4,0228,범계,KR,4,0260,산본,True,True,True
01,수도권,KR,4,4호선,0260,산본,39,39,KR,4,0090,금정,KR,4,0335,수리산,True,True,True
01,수도권,KR,4,4호선,0335,수리산,40,40,KR,4,0260,산본,KR,4,0134,대야미,True,True,True
01,수도권,KR,4,4호선,0134,대야미,41,41,KR,4,0335,수리산,KR,4,0214,반월,True,True,True
01,수도권,KR,4,4호선,0214,반월,42,42,KR,4,0134,대야미,KR,4,0275,상록수,True,True,True
