are_cd,are_nm,rail_opr_istt_cd,ln_cd,ln_nm,prpr_stin_cd,stin_nm,facility_cd,facility_nm,grnd_dv_cd,grnd_dv_nm,stin_flor,floor_label,detail_location,trfc_weak_dv_cd,trfc_weak_dv_nm,ml_fml_dv_cd,ml_fml_dv_nm
01,수도권,KR,1,1호선,0141,덕정,EV,일반승강기,1,지상,2,지상 2층,[1호기]1F(1번출입구방향)2F(덕계역방향승강장4-2출입문앞),,,,
01,수도권,KR,1,1호선,0141,덕정,EV,일반승강기,1,지상,1,지상 1층,[2호기]1F(1번출입구방향)2F(지행역방향승강장5-3출입문앞),,,,
01,수도권,KR,1,1호선,0141,덕정,EV,일반승강기,1,지상,1,지상 1층,[1호기]1F(1번출입구방향)2F(덕계역방향승강장4-2출입문앞),,,,
01,수도권,KR,1,1호선,0141,덕정,TOLT,일반화장실(여),1,지상,1,지상 1층,맞이방 표 내는 곳 옆,1,일반,2,여
01,수도권,KR,1,1호선,0141,덕정,TOLT,장애인화장실(남),1,지상,1,지상 1층,맞이방 표 내는 곳 옆,2,장애인,1,남
01,수도권,KR,1,1호선,0141,덕정,INFO,고객센터,1,지상,1,지상 1층,(1F) 맞이방 표내는 곳 옆,,,,
01,수도권,KR,1,1호선,0141,덕정,LARM,수유실,1,지상,1,지상 1층,(1F) 맞이방,,,,
01,수도권,KR,1,1호선,0139,덕계,EV,일반승강기,1,지상,2,지상 2층,[1호기](1F)개집표구를지나왼쪽(2F)소요산방면승강장5-3출입문앞,,,,
01,수도권,KR,1,1호선,0139,덕계,EV,일반승강기,1,지상,2,지상 2층,[2호기](1F)개집표구를지나왼쪽(2F)인천방면승강장6-2출입문앞,,,,
01,수도권,KR,1,1호선,0139,덕계,EV,일반승강기,1,지상,1,지상 1층,[1호기](1F)개집표구를지나왼쪽(2F)소요산방면승강장5-3출입문앞,,,,
01,수도권,KR,1,1호선,0139,덕계,EV,일반승강기,1,지상,1,지상 1층,[2호기](1F)개집표구를지나왼쪽(2F)인천방면승강장6-2출입문앞,,,,
01,수도권,KR,1,1호선,0139,덕계,WCLF,휠체어리프트,1,지상,1,지상 1층,(1F) 2번 출구 외부 계단,,,,
01,수도권,KR,1,1호선,0139,덕계,TOLT,일반화장실(남),1,지상,1,지상 1층,1번출구 진입후 좌측,1,일반,1,남
