are_cd,are_nm,rail_opr_istt_cd,ln_cd,ln_nm,prpr_stin_cd,stin_nm,plf_no,plf_tp_nm,run_dir_tmn_stin_nm,next_stin_nm,screen_door,safety_footboard,platform_crossable,braille_block,braille_sign
01,수도권,S1,2,2호선,0386,아현,1,상대식,,충정로,●,●,●,×,×
01,수도권,S1,2,2호선,0386,아현,2,상대식,,이대,●,●,●,×,×
01,수도권,S1,2,2호선,0473,이대,1,섬식,,아현,●,●,●,×,×
01,수도권,S1,2,2호선,0473,이대,2,섬식,,신촌,●,●,●,×,×
01,수도권,S1,2,2호선,0366,신촌,1,상대식,,이대,●,●,×,×,×
01,수도권,S1,2,2호선,0366,신촌,2,상대식,,홍대입구,●,●,×,×,×
01,수도권,S1,2,2호선,0596,홍대입구,1,섬식,,신촌,●,●,●,×,×
01,수도권,S1,2,2호선,0596,홍대입구,2,섬식,,합정,●,●,●,×,×
01,수도권,S1,2,2호선,0591,합정,1,상대식,,홍대입구,●,●,●,×,×
01,수도권,S1,2,2호선,0591,합정,2,상대식,,당산,●,●,●,×,×
01,수도권,S1,2,2호선,0126,당산,1,상대식,,합정,●,●,●,×,×
01,수도권,S1,2,2호선,0126,당산,2,상대식,,영등포구청,●,●,●,×,×
01,수도권,S1,2,2호선,0421,영등포구청,1,상대식,,당산,●,●,●,×,×
01,수도권,S1,2,2호선,0421,영등포구청,2,상대식,,문래,●,●,●,×,×
01,수도권,S1,2,2호선,0206,문래,1,상대식,,영등포구청,●,●,×,×,×
01,수도권,S1,2,2호선,0206,문래,2,상대식,,신도림,●,●,×,×,×
01,수도권,S1,2,2호선,0359,신도림,1,섬식,,문래·신도림,●,●,●,×,×
01,수도권,S1,2,2호선,0359,신도림,2,섬식,,대림·도림천,●,●,●,×,×
01,수도권,S1,2,2호선,0130,대림,1,상대식,,구로디지털단지,●,●,●,×,×
01,수도권,S1,2,2호선,0130,대림,2,상대식,,신도림,●,●,●,×,×
01,수도권,S1,2,2호선,0070,구로디지털단지,1,상대식,,신대방,●,●,●,×,×
01,수도권,S1,2,2호선,0070,구로디지털단지,2,상대식,,대림,●,●,●,×,×
01,수도권,S1,2,2호선,0357,신대방,1,상대식,,신림,●,●,●,×,×
01,수도권,S1,2,2호선,0357,신대방,2,상대식,,구로디지털단지,●,●,●,×,×
01,수도권,S1,2,2호선,0361,신림,1,섬식,,봉천,●,●,●,×,×
01,수도권,S1,2,2호선,0361,신림,2,섬식,,신대방,●,●,●,×,×
01,수도권,S1,2,2호선,0242,봉천,1,섬식,,서울대입구,●,●,●,×,×
01,수도권,S1,2,2호선,0242,봉천,2,섬식,,신림,●,●,●,×,×
01,수도권,S1,2,2호선,0294,서울대입구,1,섬식,,낙성대,●,●,●,×,×
01,수도권,S1,2,2호선,0294,서울대입구,2,섬식,,봉천,●,●,●,×,×
01,수도권,S1,2,2호선,0102,낙성대,1,상대식,,사당,●,●,×,×,×
01,수도권,S1,2,2호선,0102,낙성대,2,상대식,,서울대입구,●,●,×,×,×
01,수도권,S1,2,2호선,0257,사당,1,상대식,,낙성대,●,●,×,×,×
01,수도권,S1,2,2호선,0257,사당,2,상대식,,방배,●,●,×,×,×
01,수도권,S1,2,2호선,0218,방배,1,상대식,,서초,●,●,×,×,×
01,수도권,S1,2,2호선,0218,방배,2,상대식,,사당,●,●,×,×,×
01,수도권,S1,2,2호선,0298,서초,1,상대식,,교대,●,●,●,×,×
01,수도권,S1,2,2호선,0298,서초,2,상대식,,방배,●,●,●,×,×
01,수도권,S1,2,2호선,0068,교대,1,상대식,,강남,●,●,×,×,×
01,수도권,S1,2,2호선,0068,교대,2,상대식,,서초,●,●,×,×,×
01,수도권,S1,2,2호선,0017,강남,1,상대식,,역삼,●,●,●,×,×
01,수도권,S1,2,2호선,0017,강남,2,상대식,,교대,●,●,●,×,×
01,수도권,S1,2,2호선,0415,역삼,1,상대식,,강남,●,●,×,×,×
01,수도권,S1,2,2호선,0415,역삼,2,상대식,,선릉,●,●,×,×,×
01,수도권,S1,2,2호선,0306,선릉,1,상대식,,역삼,●,●,×,×,×
01,수도권,S1,2,2호선,0306,선릉,2,상대식,,삼성,●,●,×,×,×
01,수도권,S1,2,2호선,0266,삼성,1,섬식,,선릉,●,●,●,×,×
01,수도권,S1,2,2호선,0266,삼성,2,섬식,,종합운동장,●,●,●,×,×
01,수도권,S1,2,2호선,0518,종합운동장,1,상대식,,잠실새내,●,●,●,×,×
01,수도권,S1,2,2호선,0518,종합운동장,2,상대식,,삼성,●,●,●,×,×
01,수도권,S1,2,2호선,0499,잠실새내,1,상대식,,종합운동장,●,●,×,×,×
01,수도권,S1,2,2호선,0499,잠실새내,2,상대식,,잠실,●,●,×,×,×
01,수도권,S1,2,2호선,0497,잠실,1,상대식,,잠실새내,●,●,×,×,×
01,수도권,S1,2,2호선,0497,잠실,2,상대식,,잠실나루,●,●,×,×,×
01,수도권,S1,2,2호선,0498,잠실나루,1,상대식,,강변,●,●,●,×,×
