are_cd,are_nm,rail_opr_istt_cd,ln_cd,ln_nm,prpr_stin_cd,stin_nm,mv_path_dv_cd,mv_path_dv_nm,mg_no,step_no,step_text
01,수도권,KR,1,1호선,0159,동두천중앙,1,출입구-승강장,7,3,3) 지행방면 지상3층 승강장 엘리베이터
01,수도권,KR,1,1호선,0159,동두천중앙,1,출입구-승강장,7,4,4) 지행방면 승강장
01,수도권,KR,1,1호선,0159,동두천중앙,1,출입구-승강장,8,1,1) 4번 출입구
01,수도권,KR,1,1호선,0159,동두천중앙,1,출입구-승강장,8,2,2) 지행방면 지상1층 엘리베이터
01,수도권,KR,1,1호선,0159,동두천중앙,1,출입구-승강장,8,3,3) 지행방면 지상3층 승강장 엘리베이터
01,수도권,KR,1,1호선,0159,동두천중앙,1,출입구-승강장,8,4,4) 지행방면 승강장
01,수도권,KR,1,1호선,0538,지행,1,출입구-승강장,1,1,1) (1F) 1번 출입구 대합실로 이동
01,수도권,KR,1,1호선,0538,지행,1,출입구-승강장,1,2,2) 표 내는곳 통과
01,수도권,KR,1,1호선,0538,지행,1,출입구-승강장,1,3,3) 동두천중앙 방면 엘리베이터(2호기) 탑승
01,수도권,KR,1,1호선,0538,지행,1,출입구-승강장,1,4,4) (2F) 동두천중앙 방면 승강장으로 이동
01,수도권,KR,1,1호선,0538,지행,1,출입구-승강장,1,5,5) 승차(휠체어칸)
01,수도권,KR,1,1호선,0538,지행,1,출입구-승강장,2,1,1) (1F) 1번 출입구 대합실로 이동
01,수도권,KR,1,1호선,0538,지행,1,출입구-승강장,2,2,2) 표 내는곳 통과
01,수도권,KR,1,1호선,0538,지행,1,출입구-승강장,2,3,3) 덕정 방면 엘리베이터(1호기) 탑승
01,수도권,KR,1,1호선,0538,지행,1,출입구-승강장,2,4,4) (2F) 덕정 방면 승강장으로 이동
01,수도권,KR,1,1호선,0538,지행,1,출입구-승강장,2,5,5) 승차(휠체어칸)
01,수도권,KR,1,1호선,0538,지행,1,출입구-승강장,3,1,1) (1F) 4번 출입구 대합실로 이동
01,수도권,KR,1,1호선,0538,지행,1,출입구-승강장,3,2,2) 표 내는곳 통과
01,수도권,KR,1,1호선,0538,지행,1,출입구-승강장,3,3,3) 동두천중앙 방면 엘리베이터(2호기) 탑승
01,수도권,KR,1,1호선,0538,지행,1,출입구-승강장,3,4,4) (2F) 동두천중앙 방면 승강장으로 이동
01,수도권,KR,1,1호선,0538,지행,1,출입구-승강장,3,5,5) 승차(휠체어칸)
01,수도권,KR,1,1호선,0538,지행,1,출입구-승강장,4,1,1) (1F) 4번 출입구 대합실로 이동
01,수도권,KR,1,1호선,0538,지행,1,출입구-승강장,4,2,2) 표 내는곳 통과
01,수도권,KR,1,1호선,0538,지행,1,출입구-승강장,4,3,3) 덕정 방면 엘리베이터(1호기) 탑승
01,수도권,KR,1,1호선,0538,지행,1,출입구-승강장,4,4,4) (2F) 덕정 방면 승강장으로 이동
01,수도권,KR,1,1호선,0538,지행,1,출입구-승강장,4,5,5) 승차(휠체어칸)
01,수도권,KR,1,1호선,0141,덕정,1,출입구-승강장,1,1,1) 1번 출입구
01,수도권,KR,1,1호선,0141,덕정,1,출입구-승강장,1,2,2) 지행방면 지상1층 엘리베이터
01,수도권,KR,1,1호선,0141,덕정,1,출입구-승강장,1,3,3) 지행방면 지상2층 승강장 엘리베이터
01,수도권,KR,1,1호선,0141,덕정,1,출입구-승강장,1,4,4) 지행방면 승강장
01,수도권,KR,1,1호선,0141,덕정,1,출입구-승강장,2,1,1) 1번 출입구
01,수도권,KR,1,1호선,0141,덕정,1,출입구-승강장,2,2,2) 덕계방면 지상1층 엘리베이터
01,수도권,KR,1,1호선,0141,덕정,1,출입구-승강장,2,3,3) 덕계방면 지상2층 승강장 엘리베이터
01,수도권,KR,1,1호선,0141,덕정,1,출입구-승강장,2,4,4) 덕계방면 승강장
01,수도권,KR,1,1호선,0139,덕계,1,출입구-승강장,1,1,1) 1번 출입구
01,수도권,KR,1,1호선,0139,덕계,1,출입구-승강장,1,2,2) 개집표기 통과
01,수도권,KR,1,1호선,0139,덕계,1,출입구-승강장,1,3,3) 덕정방면 지상1층 엘리베이터
01,수도권,KR,1,1호선,0139,덕계,1,출입구-승강장,1,4,4) 덕정방면 지상2층 승강장 엘리베이터
01,수도권,KR,1,1호선,0139,덕계,1,출입구-승강장,1,5,5) 덕정방면 승강장
01,수도권,KR,1,1호선,0139,덕계,1,출입구-승강장,2,1,1) 2번 출입구
01,수도권,KR,1,1호선,0139,덕계,1,출입구-승강장,2,2,2) 개집표기 통과
01,수도권,KR,1,1호선,0139,덕계,1,출입구-승강장,2,3,3) 덕정방면 지상1층 엘리베이터
01,수도권,KR,1,1호선,0139,덕계,1,출입구-승강장,2,4,4) 덕정방면 지상2층 승강장 엘리베이터
01,수도권,KR,1,1호선,0139,덕계,1,출입구-승강장,2,5,5) 덕정방면 승강장
01,수도권,KR,1,1호선,0139,덕계,1,출입구-승강장,3,1,1) 1번 출입구
01,수도권,KR,1,1호선,0139,덕계,1,출입구-승강장,3,2,2) 개집표기 통과
01,수도권,KR,1,1호선,0139,덕계,1,출입구-승강장,3,3,3) 양주방면 지상1층 엘리베이터
01,수도권,KR,1,1호선,0139,덕계,1,출입구-승강장,3,4,4) 양주방면 지상2층 승강장 엘리베이터
01,수도권,KR,1,1호선,0139,덕계,1,출입구-승강장,3,5,5) 양주방면 승강장
01,수도권,KR,1,1호선,0139,덕계,1,출입구-승강장,4,1,1) 2번 출입구
01,수도권,KR,1,1호선,0139,덕계,1,출입구-승강장,4,2,2) 개집표기 통과
01,수도권,KR,1,1호선,0139,덕계,1,출입구-승강장,4,3,3) 양주방면 지상1층 엘리베이터
01,수도권,KR,1,1호선,0139,덕계,1,출입구-승강장,4,4,4) 양주방면 지상2층 승강장 엘리베이터
01,수도권,KR,1,1호선,0139,덕계,1,출입구-승강장,4,5,5) 양주방면 승강장
01,수도권,KR,1,1호선,0403,양주,1,출입구-승강장,1,1,1) (1F) 1번 출입구 대합실로 이동
01,수도권,KR,1,1호선,0403,양주,1,출입구-승강장,1,2,2) 표 내는곳 통과
01,수도권,KR,1,1호선,0403,양주,1,출입구-승강장,1,3,3) 덕계 방면 엘리베이터 탑승
01,수도권,KR,1,1호선,0403,양주,1,출입구-승강장,1,4,4) (2F) 덕계 방면 승강장으로 이동
01,수도권,KR,1,1호선,0403,양주,1,출입구-승강장,1,5,5) 승차(휠체어칸)
01,수도권,KR,1,1호선,0403,양주,1,출입구-승강장,2,1,1) (1F) 1번 출입구 대합실로 이동
01,수도권,KR,1,1호선,0403,양주,1,출입구-승강장,2,2,2) 표 내는곳 통과
01,수도권,KR,1,1호선,0403,양주,1,출입구-승강장,2,3,3) 녹양 방면 엘리베이터 탑승
01,수도권,KR,1,1호선,0403,양주,1,출입구-승강장,2,4,4) (2F) 녹양 방면 승강장으로 이동
01,수도권,KR,1,1호선,0403,양주,1,출입구-승강장,2,5,5) 승차(휠체어칸)
01,수도권,KR,1,1호선,0403,양주,1,출입구-승강장,3,1,1) (1F) 2번 출입구 대합실로 이동
